id,name
1,"Laurea Triennale - Ingegneria Informatica"
2,"Laurea Magistrale - Computer Science and Engineering"
3,"Laurea Triennale - Ingegneria Elettronica"
4,"Laurea Triennale - Ingegneria Matematica"
5,"Laurea Triennale - Ingegneria Biomedica"
6,"Laurea Triennale - Ingegneria Chimica"
7,"Laurea Triennale - Ingegneria Gestionale"
8,"Laurea Magistrale - Electronics Engineering"
9,"Laurea Magistrale - Management Engineering"
10,"Laurea Magistrale - Mathematical Engineering"
11,"Laurea Magistrale - Telecommunication Engineering"
12,"Laurea Triennale - Design degli Interni"
13,"Laurea Triennale - Design della Comunicazione"
14,"Laurea Triennale - Design della Moda"
15,"Laurea Triennale - Design del Prodotto Industriale"
16,"Laurea Magistrale - Design & Engineering"
17,"Laurea Magistrale - Design della Comunicazione"
18,"Laurea Magistrale - Interior and Spatial Design"
19,"Laurea Triennale - Progettazione dell'architettura"
20,"Laurea a Ciclo Unico - Ingegneria Edile"
21,"Laurea Magistrale - Architettura delle costruzioni"
22,"Laurea Magistrale - Architecture and Urban Design"
